fiscal_year,total_doe_rnd,re_total,president,president_party,house_majority,senate_majority,party_gov,cong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,2538.034915,377.7270052,Reagan,Republican,Democrat,Republican,Divided,99th (1985–1987),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,2799.188666,304.6620255,Reagan,Republican,Democrat,Democrat,Divided,100th (1987–1989),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,2820.018604,309.2488821,Reagan,Republican,Democrat,Democrat,Divided,100th (1987–1989),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,3595.114557,261.6852093,HW Bush,Republican,Democrat,Democrat,Divided,101st (1989–1991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,3343.887089,364.0638974,HW Bush,Republican,Democrat,Democrat,Divided,101st (1989–1991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,3364.934128,416.9509786,HW Bush,Republican,Democrat,Democrat,Divided,102nd (1991–1993),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,2577.578169,426.6204377,HW Bush,Republican,Democrat,Democrat,Divided,102nd (1991–1993),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,2884.835746,505.9766313,Clinton,Democrat,Democrat,Democrat,Unified,103rd (1993–1995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,2695.545215,573.8903626,Clinton,Democrat,Democrat,Democrat,Unified,103rd (1993–1995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,2210.20412,397.0026589,Clinton,Democrat,Republican,Republican,Divided,104th (1995–1997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,1951.682469,352.1573875,Clinton,Democrat,Republican,Republican,Divided,104th (1995–1997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1847.059078,445.2700337,Clinton,Democrat,Republican,Republican,Divided,105th (1997–1999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
